"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 10 05:52:04 GMT 2023","Wed May 10 05:52:12 GMT 2023","7379","","Проверка параметров","","tests.SelenideTests","testScenario_2","Проверка параметров достопримечательности","Проверяем совпадение параметров (название и цену) достопримечательности на странице всех достопримечательностей города и на странице выбранной достопримечательности "
"failed","Wed May 10 05:51:49 GMT 2023","Wed May 10 05:52:04 GMT 2023","15250","","Проверка параметров","","tests.SelenideTests","testScenario_1","Проверка параметров достопримечательности","Проверяем совпадение параметров (название, количество звезд, среднюю оценку, количество отзывов и стоимость) отеля на странице с картой и на странице отеля"
